name,description,image,location,status,elevation,price
Mount Kilauea,Active shield volcano in the hawaiian islands that last erupted between 1983 and 2018,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/USGS_K%C4%ABlauea_multimediaFile-2062.jpg/450px-USGS_K%C4%ABlauea_multimediaFile-2062.jpg,Hawaii,Active,4091,199
Mount St. Helens,"Active stratovolcano located in Skamania County, Washington, in the Pacific Northwest region of the United States.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/MSH82_st_helens_plume_from_harrys_ridge_05-19-82.jpg/405px-MSH82_st_helens_plume_from_harrys_ridge_05-19-82.jpg,Washington,Active,8366,210
Mount Mauna Loa,Mauna Loa is one of five volcanoes that form the Island of Hawaii in the U.S. state of Hawai?i in the Pacific Ocean,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mauna_Loa_Volcano.jpg/450px-Mauna_Loa_Volcano.jpg,Hawaii,Active,13678,189
Mount Pinatubo,"Mount Pinatubo is an active stratovolcano in the Zambales Mountains, located on the tripoint boundary of the Philippine provinces of Zambales, Tarlac and Pampanga, all in Central Luzon on the northern island of Luzon",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Pinatubo91eruption_clark_air_base.jpg/405px-Pinatubo91eruption_clark_air_base.jpg,Phillipines,Active,4875,200
Montserrat,"Montserrat is a multi-peaked mountain range near Barcelona, in Catalonia, Spain. It is part of the Catalan Pre-Coastal Range. ",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Montserrat_Island_Sunset_%284568325551%29.jpg/330px-Montserrat_Island_Sunset_%284568325551%29.jpg,Caribbean,Active,3440,200
Three Sisters (Broken Top),"Broken Top is a glacially eroded complex stratovolcano. It lies in the Cascade Volcanic Arc, part of the extensive Cascade Range in the U.S. state of Oregon.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Broken_Top.JPG/405px-Broken_Top.JPG,Oregon,Inactive,9177,225
Mount Fuji,"Japan’s Mt. Fuji is an active volcano about 100 kilometers southwest of Tokyo. Commonly called “Fuji-san,” it’s the country’s tallest peak, at 3,776 meters. ",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/080103_hakkai_fuji.jpg/405px-080103_hakkai_fuji.jpg,Japan,Active,3776,190
Mount Shasta,"Mount Shasta is a potentially active volcano at the southern end of the Cascade Range in Siskiyou County, California. At an elevation of 14,179 feet, it is the second-highest peak in the Cascades and the fifth-highest in the state.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/MtShasta_aerial.JPG/1200px-MtShasta_aerial.JPG,California,Active,14180,225
Lassen Peak,"Lassen Peak, commonly referred to as Mount Lassen, is the southernmost active volcano in the Cascade Range of the Western United States. Located in the Shasta Cascade region of Northern California, it is part of the Cascade Volcanic Arc, which stretches from southwestern British Columbia to northern California.",https://upload.wikimedia.org/wikipedia/commons/8/89/Lassen-Peak-Large.jpg,California,Active,10463,225
Crater Lake,"About 6,850 years ago Mount Mazama, a stratovolcano, collapsed to produce Crater Lake, one of the world's best known calderas. The caldera is about 6 miles (10 km) wide. The catastrophic pyroclasticeruption released about 12 cubic miles (50 cubic km) of magma to the surface. It was one of the largest eruptions in the last 10,000 years.",http://volcano.oregonstate.edu/oldroot/volcanoes/volc_images/north_america/craterlakepark.jpg,Oregon,Active,2471,215
